scenarioId,mode,repetitionIndex,status,bestFitness,hardViolations,softPenalty,generationsRun,stagnatedEarly,firstFeasibleGeneration,preGADurationMs,ssaDurationMs,gaDurationMs,totalDurationMs,ssaWouldHavePrunedCoordinates,ssaWouldHaveDeclaredInfeasible
structurally-infeasible,with-ssa,6,INFEASIBLE,,,,,,,0,1,0,2,6,true
structurally-infeasible,with-ssa,7,INFEASIBLE,,,,,,,0,1,0,2,6,true
structurally-infeasible,with-ssa,8,INFEASIBLE,,,,,,,0,1,0,2,6,true
structurally-infeasible,with-ssa,9,INFEASIBLE,,,,,,,0,1,0,2,6,true
structurally-infeasible,with-ssa,10,INFEASIBLE,,,,,,,0,1,0,1,6,true
structurally-infeasible,with-ssa,11,INFEASIBLE,,,,,,,0,2,0,2,6,true
structurally-infeasible,with-ssa,12,INFEASIBLE,,,,,,,0,1,0,2,6,true
structurally-infeasible,with-ssa,13,INFEASIBLE,,,,,,,0,1,0,2,6,true
structurally-infeasible,with-ssa,14,INFEASIBLE,,,,,,,0,1,0,1,6,true
structurally-infeasible,with-ssa,15,INFEASIBLE,,,,,,,0,1,0,1,6,true
structurally-infeasible,with-ssa,16,INFEASIBLE,,,,,,,0,1,0,2,6,true
structurally-infeasible,with-ssa,17,INFEASIBLE,,,,,,,0,1,0,1,6,true
structurally-infeasible,with-ssa,18,INFEASIBLE,,,,,,,0,1,0,1,6,true
structurally-infeasible,with-ssa,19,INFEASIBLE,,,,,,,0,1,0,2,6,true
structurally-infeasible,with-ssa,20,INFEASIBLE,,,,,,,0,1,0,1,6,true
structurally-infeasible,with-ssa,21,INFEASIBLE,,,,,,,0,1,0,1,6,true
structurally-infeasible,with-ssa,22,INFEASIBLE,,,,,,,0,1,0,1,6,true
structurally-infeasible,with-ssa,23,INFEASIBLE,,,,,,,0,1,0,1,6,true
structurally-infeasible,with-ssa,24,INFEASIBLE,,,,,,,0,1,0,1,6,true
structurally-infeasible,with-ssa,25,INFEASIBLE,,,,,,,0,1,0,2,6,true
structurally-infeasible,with-ssa,26,INFEASIBLE,,,,,,,0,1,0,2,6,true
structurally-infeasible,with-ssa,27,INFEASIBLE,,,,,,,0,1,0,2,6,true
structurally-infeasible,with-ssa,28,INFEASIBLE,,,,,,,0,1,0,1,6,true
structurally-infeasible,with-ssa,29,INFEASIBLE,,,,,,,0,1,0,2,6,true
structurally-infeasible,without-ssa,0,SUCCESS,0.00006008893161879582,166,41,126,true,,0,0,33086,33087,6,true
structurally-infeasible,without-ssa,1,SUCCESS,0.00006047777441790142,165,34,125,true,,0,0,33270,33270,6,true
structurally-infeasible,without-ssa,2,SUCCESS,0.000059726452845965476,167,42,200,false,,0,0,52637,52637,6,true
structurally-infeasible,without-ssa,3,SUCCESS,0.00005904233335301411,169,36,114,true,,0,0,29725,29725,6,true
structurally-infeasible,without-ssa,4,SUCCESS,0.00006012506012506013,166,31,143,true,,0,0,37339,37340,6,true
structurally-infeasible,without-ssa,5,SUCCESS,0.00005940358797671379,168,33,157,true,,0,0,42152,42152,6,true
structurally-infeasible,without-ssa,6,SUCCESS,0.0000597442944198829,167,37,111,true,,0,0,29767,29767,6,true
structurally-infeasible,without-ssa,7,SUCCESS,0.00005972288580984233,167,43,145,true,,0,0,38946,38946,6,true
structurally-infeasible,without-ssa,8,SUCCESS,0.000060117830948659375,166,33,167,true,,0,0,44226,44227,6,true
structurally-infeasible,without-ssa,9,SUCCESS,0.00005941417622244667,168,30,200,false,,0,0,52701,52701,6,true
structurally-infeasible,without-ssa,10,SUCCESS,0.000059758575355563525,167,33,158,true,,0,0,41323,41323,6,true
structurally-infeasible,without-ssa,11,SUCCESS,0.000059733588196642975,167,40,145,true,,0,0,37893,37893,6,true
structurally-infeasible,without-ssa,12,SUCCESS,0.0000601286753652817,166,30,183,true,,0,0,47775,47776,6,true
structurally-infeasible,without-ssa,13,SUCCESS,0.0000590318772136954,169,39,113,true,,0,0,29477,29477,6,true
structurally-infeasible,without-ssa,14,SUCCESS,0.00005942476824340385,168,27,129,true,,0,0,33546,33546,6,true
structurally-infeasible,without-ssa,15,SUCCESS,0.00005939300350418721,168,36,126,true,,0,0,32807,32807,6,true
structurally-infeasible,without-ssa,16,SUCCESS,0.00005974072525240457,167,38,127,true,,0,0,33112,33112,6,true
structurally-infeasible,without-ssa,17,SUCCESS,0.00005937184587068812,168,42,123,true,,0,0,31976,31976,6,true
structurally-infeasible,without-ssa,18,SUCCESS,0.000059776436128878,167,28,172,true,,0,0,44682,44683,6,true
structurally-infeasible,without-ssa,19,SUCCESS,0.00006009615384615385,166,39,200,false,,0,0,52218,52219,6,true
structurally-infeasible,without-ssa,20,SUCCESS,0.000059755004481625337,167,34,161,true,,0,0,41923,41923,6,true
structurally-infeasible,without-ssa,21,SUCCESS,0.00006048874909266876,165,31,191,true,,0,0,49668,49668,6,true
structurally-infeasible,without-ssa,22,SUCCESS,0.00005904581955597544,169,35,121,true,,0,0,32134,32135,6,true
structurally-infeasible,without-ssa,23,SUCCESS,0.00005904581955597544,169,35,108,true,,0,0,28142,28142,6,true
structurally-infeasible,without-ssa,24,SUCCESS,0.00005903536218194698,169,38,113,true,,0,0,29581,29581,6,true
structurally-infeasible,without-ssa,25,SUCCESS,0.00005939300350418721,168,36,200,false,,0,0,52259,52259,6,true
structurally-infeasible,without-ssa,26,SUCCESS,0.00005974072525240457,167,38,147,true,,0,0,38930,38930,6,true
structurally-infeasible,without-ssa,27,SUCCESS,0.00005940358797671379,168,33,116,true,,0,0,31093,31093,6,true
structurally-infeasible,without-ssa,28,SUCCESS,0.0000590388475616956,169,37,177,true,,0,0,48330,48330,6,true
structurally-infeasible,without-ssa,29,SUCCESS,0.00005942476824340385,168,27,122,true,,0,0,32433,32433,6,true
